emoji,unicode,category,has_modifiers
😀,\U0001f600,emojis & people,False
😃,\U0001f603,emojis & people,False
😄,\U0001f604,emojis & people,False
😁,\U0001f601,emojis & people,False
😆,\U0001f606,emojis & people,False
🥹,\U0001f979,emojis & people,False
😅,\U0001f605,emojis & people,False
😂,\U0001f602,emojis & people,False
🤣,\U0001f923,emojis & people,False
🥲,\U0001f972,emojis & people,False
☺️,\u263a\ufe0f,emojis & people,False
😊,\U0001f60a,emojis & people,False
😇,\U0001f607,emojis & people,False
🙂,\U0001f642,emojis & people,False
🙃,\U0001f643,emojis & people,False
😉,\U0001f609,emojis & people,False
😌,\U0001f60c,emojis & people,False
😍,\U0001f60d,emojis & people,False
🥰,\U0001f970,emojis & people,False
😘,\U0001f618,emojis & people,False
😗,\U0001f617,emojis & people,False
😙,\U0001f619,emojis & people,False
😚,\U0001f61a,emojis & people,False
😋,\U0001f60b,emojis & people,False
😛,\U0001f61b,emojis & people,False
😝,\U0001f61d,emojis & people,False
😜,\U0001f61c,emojis & people,False
🤪,\U0001f92a,emojis & people,False
🤨,\U0001f928,emojis & people,False
🧐,\U0001f9d0,emojis & people,False
🤓,\U0001f913,emojis & people,False
😎,\U0001f60e,emojis & people,False
🥸,\U0001f978,emojis & people,False
🤩,\U0001f929,emojis & people,False
🥳,\U0001f973,emojis & people,False
😏,\U0001f60f,emojis & people,False
😒,\U0001f612,emojis & people,False
😞,\U0001f61e,emojis & people,False
😔,\U0001f614,emojis & people,False
😟,\U0001f61f,emojis & people,False
😕,\U0001f615,emojis & people,False
🙁,\U0001f641,emojis & people,False
☹️,\u2639\ufe0f,emojis & people,False
😣,\U0001f623,emojis & people,False
😖,\U0001f616,emojis & people,False
😫,\U0001f62b,emojis & people,False
😩,\U0001f629,emojis & people,False
🥺,\U0001f97a,emojis & people,False
😢,\U0001f622,emojis & people,False
😭,\U0001f62d,emojis & people,False
😤,\U0001f624,emojis & people,False
😠,\U0001f620,emojis & people,False
😡,\U0001f621,emojis & people,False
🤬,\U0001f92c,emojis & people,False
🤯,\U0001f92f,emojis & people,False
😳,\U0001f633,emojis & people,False
🥵,\U0001f975,emojis & people,False
🥶,\U0001f976,emojis & people,False
😶‍🌫️,\U0001f636\u200d\U0001f32b\ufe0f,emojis & people,False
😱,\U0001f631,emojis & people,False
😨,\U0001f628,emojis & people,False
😰,\U0001f630,emojis & people,False
😥,\U0001f625,emojis & people,False
😓,\U0001f613,emojis & people,False
🤗,\U0001f917,emojis & people,False
🤔,\U0001f914,emojis & people,False
🫣,\U0001fae3,emojis & people,False
🤭,\U0001f92d,emojis & people,False
🫢,\U0001fae2,emojis & people,False
🫡,\U0001fae1,emojis & people,False
🤫,\U0001f92b,emojis & people,False
🫠,\U0001fae0,emojis & people,False
🤥,\U0001f925,emojis & people,False
😶,\U0001f636,emojis & people,False
🫥,\U0001fae5,emojis & people,False
😐,\U0001f610,emojis & people,False
🫤,\U0001fae4,emojis & people,False
😑,\U0001f611,emojis & people,False
🫨,\U0001fae8,emojis & people,False
😬,\U0001f62c,emojis & people,False
🙄,\U0001f644,emojis & people,False
😯,\U0001f62f,emojis & people,False
😦,\U0001f626,emojis & people,False
😧,\U0001f627,emojis & people,False
😮,\U0001f62e,emojis & people,False
😲,\U0001f632,emojis & people,False
🥱,\U0001f971,emojis & people,False
😴,\U0001f634,emojis & people,False
🤤,\U0001f924,emojis & people,False
😪,\U0001f62a,emojis & people,False
😮‍💨,\U0001f62e\u200d\U0001f4a8,emojis & people,False
😵,\U0001f635,emojis & people,False
😵‍💫,\U0001f635\u200d\U0001f4ab,emojis & people,False
🤐,\U0001f910,emojis & people,False
🥴,\U0001f974,emojis & people,False
🤢,\U0001f922,emojis & people,False
🤮,\U0001f92e,emojis & people,False
🤧,\U0001f927,emojis & people,False
😷,\U0001f637,emojis & people,False
🤒,\U0001f912,emojis & people,False
🤕,\U0001f915,emojis & people,False
🤑,\U0001f911,emojis & people,False
🤠,\U0001f920,emojis & people,False
😈,\U0001f608,emojis & people,False
👿,\U0001f47f,emojis & people,False
👹,\U0001f479,emojis & people,False
