emoji,unicode,category,unicodename
😀,\U0001f600,emojis & people,GRINNING FACE
😃,\U0001f603,emojis & people,SMILING FACE WITH OPEN MOUTH
😄,\U0001f604,emojis & people,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
😁,\U0001f601,emojis & people,GRINNING FACE WITH SMILING EYES
😆,\U0001f606,emojis & people,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
🥹,\U0001f979,emojis & people,---
😅,\U0001f605,emojis & people,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
😂,\U0001f602,emojis & people,FACE WITH TEARS OF JOY
🤣,\U0001f923,emojis & people,ROLLING ON THE FLOOR LAUGHING
🥲,\U0001f972,emojis & people,SMILING FACE WITH TEAR
☺️,\u263a\ufe0f,emojis & people,---
😊,\U0001f60a,emojis & people,SMILING FACE WITH SMILING EYES
😇,\U0001f607,emojis & people,SMILING FACE WITH HALO
🙂,\U0001f642,emojis & people,SLIGHTLY SMILING FACE
🙃,\U0001f643,emojis & people,UPSIDE-DOWN FACE
😉,\U0001f609,emojis & people,WINKING FACE
😌,\U0001f60c,emojis & people,RELIEVED FACE
😍,\U0001f60d,emojis & people,SMILING FACE WITH HEART-SHAPED EYES
🥰,\U0001f970,emojis & people,SMILING FACE WITH SMILING EYES AND THREE HEARTS
😘,\U0001f618,emojis & people,FACE THROWING A KISS
😗,\U0001f617,emojis & people,KISSING FACE
😙,\U0001f619,emojis & people,KISSING FACE WITH SMILING EYES
😚,\U0001f61a,emojis & people,KISSING FACE WITH CLOSED EYES
😋,\U0001f60b,emojis & people,FACE SAVOURING DELICIOUS FOOD
😛,\U0001f61b,emojis & people,FACE WITH STUCK-OUT TONGUE
😝,\U0001f61d,emojis & people,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
😜,\U0001f61c,emojis & people,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
🤪,\U0001f92a,emojis & people,GRINNING FACE WITH ONE LARGE AND ONE SMALL EYE
🤨,\U0001f928,emojis & people,FACE WITH ONE EYEBROW RAISED
🧐,\U0001f9d0,emojis & people,FACE WITH MONOCLE
🤓,\U0001f913,emojis & people,NERD FACE
😎,\U0001f60e,emojis & people,SMILING FACE WITH SUNGLASSES
🥸,\U0001f978,emojis & people,DISGUISED FACE
🤩,\U0001f929,emojis & people,GRINNING FACE WITH STAR EYES
🥳,\U0001f973,emojis & people,FACE WITH PARTY HORN AND PARTY HAT
😏,\U0001f60f,emojis & people,SMIRKING FACE
😒,\U0001f612,emojis & people,UNAMUSED FACE
😞,\U0001f61e,emojis & people,DISAPPOINTED FACE
😔,\U0001f614,emojis & people,PENSIVE FACE
😟,\U0001f61f,emojis & people,WORRIED FACE
😕,\U0001f615,emojis & people,CONFUSED FACE
🙁,\U0001f641,emojis & people,SLIGHTLY FROWNING FACE
☹️,\u2639\ufe0f,emojis & people,---
😣,\U0001f623,emojis & people,PERSEVERING FACE
😖,\U0001f616,emojis & people,CONFOUNDED FACE
😫,\U0001f62b,emojis & people,TIRED FACE
😩,\U0001f629,emojis & people,WEARY FACE
🥺,\U0001f97a,emojis & people,FACE WITH PLEADING EYES
😢,\U0001f622,emojis & people,CRYING FACE
😭,\U0001f62d,emojis & people,LOUDLY CRYING FACE
😤,\U0001f624,emojis & people,FACE WITH LOOK OF TRIUMPH
😠,\U0001f620,emojis & people,ANGRY FACE
😡,\U0001f621,emojis & people,POUTING FACE
🤬,\U0001f92c,emojis & people,SERIOUS FACE WITH SYMBOLS COVERING MOUTH
🤯,\U0001f92f,emojis & people,SHOCKED FACE WITH EXPLODING HEAD
😳,\U0001f633,emojis & people,FLUSHED FACE
🥵,\U0001f975,emojis & people,OVERHEATED FACE
🥶,\U0001f976,emojis & people,FREEZING FACE
😶‍🌫️,\U0001f636\u200d\U0001f32b\ufe0f,emojis & people,---
😱,\U0001f631,emojis & people,FACE SCREAMING IN FEAR
😨,\U0001f628,emojis & people,FEARFUL FACE
😰,\U0001f630,emojis & people,FACE WITH OPEN MOUTH AND COLD SWEAT
😥,\U0001f625,emojis & people,DISAPPOINTED BUT RELIEVED FACE
😓,\U0001f613,emojis & people,FACE WITH COLD SWEAT
🤗,\U0001f917,emojis & people,HUGGING FACE
🤔,\U0001f914,emojis & people,THINKING FACE
🫣,\U0001fae3,emojis & people,---
🤭,\U0001f92d,emojis & people,SMILING FACE WITH SMILING EYES AND HAND COVERING MOUTH
🫢,\U0001fae2,emojis & people,---
🫡,\U0001fae1,emojis & people,---
🤫,\U0001f92b,emojis & people,FACE WITH FINGER COVERING CLOSED LIPS
🫠,\U0001fae0,emojis & people,---
🤥,\U0001f925,emojis & people,LYING FACE
😶,\U0001f636,emojis & people,FACE WITHOUT MOUTH
🫥,\U0001fae5,emojis & people,---
😐,\U0001f610,emojis & people,NEUTRAL FACE
🫤,\U0001fae4,emojis & people,---
😑,\U0001f611,emojis & people,EXPRESSIONLESS FACE
🫨,\U0001fae8,emojis & people,---
😬,\U0001f62c,emojis & people,GRIMACING FACE
🙄,\U0001f644,emojis & people,FACE WITH ROLLING EYES
😯,\U0001f62f,emojis & people,HUSHED FACE
😦,\U0001f626,emojis & people,FROWNING FACE WITH OPEN MOUTH
😧,\U0001f627,emojis & people,ANGUISHED FACE
😮,\U0001f62e,emojis & people,FACE WITH OPEN MOUTH
😲,\U0001f632,emojis & people,ASTONISHED FACE
🥱,\U0001f971,emojis & people,YAWNING FACE
😴,\U0001f634,emojis & people,SLEEPING FACE
🤤,\U0001f924,emojis & people,DROOLING FACE
😪,\U0001f62a,emojis & people,SLEEPY FACE
😮‍💨,\U0001f62e\u200d\U0001f4a8,emojis & people,---
😵,\U0001f635,emojis & people,DIZZY FACE
😵‍💫,\U0001f635\u200d\U0001f4ab,emojis & people,---
🤐,\U0001f910,emojis & people,ZIPPER-MOUTH FACE
🥴,\U0001f974,emojis & people,FACE WITH UNEVEN EYES AND WAVY MOUTH
🤢,\U0001f922,emojis & people,NAUSEATED FACE
🤮,\U0001f92e,emojis & people,FACE WITH OPEN MOUTH VOMITING
🤧,\U0001f927,emojis & people,SNEEZING FACE
😷,\U0001f637,emojis & people,FACE WITH MEDICAL MASK
🤒,\U0001f912,emojis & people,FACE WITH THERMOMETER
🤕,\U0001f915,emojis & people,FACE WITH HEAD-BANDAGE
🤑,\U0001f911,emojis & people,MONEY-MOUTH FACE
🤠,\U0001f920,emojis & people,FACE WITH COWBOY HAT
😈,\U0001f608,emojis & people,SMILING FACE WITH HORNS
👿,\U0001f47f,emojis & people,IMP
👹,\U0001f479,emojis & people,JAPANESE OGRE
👺,\U0001f47a,emojis & people,JAPANESE GOBLIN
🤡,\U0001f921,emojis & people,CLOWN FACE
💩,\U0001f4a9,emojis & people,PILE OF POO
👻,\U0001f47b,emojis & people,GHOST
💀,\U0001f480,emojis & people,SKULL
☠️,\u2620\ufe0f,emojis & people,---
👽,\U0001f47d,emojis & people,EXTRATERRESTRIAL ALIEN
👾,\U0001f47e,emojis & people,ALIEN MONSTER
🤖,\U0001f916,emojis & people,ROBOT FACE
🎃,\U0001f383,emojis & people,JACK-O-LANTERN
😺,\U0001f63a,emojis & people,SMILING CAT FACE WITH OPEN MOUTH
😸,\U0001f638,emojis & people,GRINNING CAT FACE WITH SMILING EYES
😹,\U0001f639,emojis & people,CAT FACE WITH TEARS OF JOY
😻,\U0001f63b,emojis & people,SMILING CAT FACE WITH HEART-SHAPED EYES
😼,\U0001f63c,emojis & people,CAT FACE WITH WRY SMILE
😽,\U0001f63d,emojis & people,KISSING CAT FACE WITH CLOSED EYES
🙀,\U0001f640,emojis & people,WEARY CAT FACE
😿,\U0001f63f,emojis & people,CRYING CAT FACE
😾,\U0001f63e,emojis & people,POUTING CAT FACE
🫶,\U0001faf6,emojis & people,---
🫶🏻,\U0001faf6\U0001f3fb,emojis & people,---
🫶🏼,\U0001faf6\U0001f3fc,emojis & people,---
